title,img,text,link
Research of Shark Attack,https://kpainton.shinyapps.io/Shark-Attacks-INFO201-FINAL-Group-BB-3/_w_08f6e187/shark1.jpg,"Through the use of the Shark Research Insitute's dataset, we have created multiple tab panels of data visualizations of all recorded shark attacks. These interactive visualizations will give you the oppurtunity to explore different areas of the data set and hopefully provide you with some valuable insight on shark attacks.",https://kpainton.shinyapps.io/Shark-Attacks-INFO201-FINAL-Group-BB-3/
Simple Trade,https://info340d-au18.github.io/project-yinchuqian/img/safe.jpg,"This new app, called ""Simple Trade,"" is a web application allowing users to trade their used stuff freely but safely.",https://info340d-au18.github.io/project-yinchuqian/index.html
